prix_maj;prix_valeur;prix_nom
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-16T09:47:06+01:00;0.909;E85
;;
;;
;;
;;
2024-01-15T01:01:00+01:00;0.899;E85
;;
;;
;;
;;
2024-01-09T09:55:13+01:00;0.9;E85
2024-01-04T10:24:11+01:00;0.848;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T07:00:00+01:00;1.079;GPLc
;;
2024-01-15T10:00:00+01:00;1.054;GPLc
;;
;;
;;
;;
;;
2024-01-15T11:16:00+01:00;0.97;E85
;;
;;
;;
;;
;;
2024-01-16T08:24:49+01:00;0.849;E85
;;
;;
2024-01-15T20:31:00+01:00;0.919;GPLc
;;
;;
;;
;;
;;
;;
2024-01-05T10:20:03+01:00;0.849;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-05T07:49:12+01:00;0.849;E85
;;
;;
;;
;;
;;
;;
;;
;;
2023-12-13T10:30:45+01:00;0.96;GPLc
;;
;;
;;
;;
;;
2024-01-15T11:44:46+01:00;1.089;E85
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;1.009;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
2023-12-18T14:51:36+01:00;1.146;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;1.054;GPLc
;;
;;
;;
;;
;;
2024-01-04T19:43:40+01:00;0.919;E85
;;
;;
2024-01-15T11:00:00+01:00;0.94;E85
;;
;;
;;
;;
2024-01-10T08:52:49+01:00;1.048;E85
2024-01-16T10:33:00+01:00;0.865;E85
;;
;;
;;
;;
;;
;;
2023-12-08T07:15:37+01:00;0.959;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-13T10:22:57+01:00;0.929;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
