,prix_maj,prix_valeur,prix_nom
1109,2024-01-15 10:04:24+00:00,0.945,GPLc
1114,2024-01-04 09:41:04+00:00,0.848,E85
1117,2024-01-16 08:27:00+00:00,0.876,E85
1125,2024-01-10 06:48:55+00:00,1.029,E85
1135,2024-01-15 20:00:00+00:00,0.949,E85
1138,2024-01-16 08:24:28+00:00,0.919,E85
1156,2024-01-15 09:10:16+00:00,0.97,E85
1165,2024-01-04 07:49:51+00:00,0.919,E85
1169,2024-01-15 07:59:05+00:00,0.919,E85
1177,2024-01-16 08:55:29+00:00,0.919,GPLc
1187,2024-01-16 08:27:00+00:00,0.849,E85
1190,2024-01-13 08:52:19+00:00,0.848,E85
1207,2024-01-15 19:31:00+00:00,0.919,E85
1219,2024-01-15 19:31:00+00:00,0.969,GPLc
1236,2024-01-15 19:31:00+00:00,1.054,GPLc
1237,2023-12-15 09:11:58+00:00,0.999,GPLc
1247,2024-01-15 19:31:00+00:00,0.999,E85
1251,2024-01-12 16:33:59+00:00,0.939,GPLc
1260,2024-01-02 17:02:20+00:00,0.848,E85
1261,2024-01-16 09:00:40+00:00,1.009,GPLc
1263,2024-01-15 19:31:00+00:00,1.054,GPLc
1274,2024-01-16 00:46:00+00:00,0.941,E85
1276,2024-01-12 20:02:11+00:00,0.899,E85
1289,2024-01-10 08:51:39+00:00,0.889,E85
1310,2024-01-16 09:03:24+00:00,0.949,E85
1311,2024-01-15 12:06:46+00:00,0.949,E85
1312,2023-12-28 08:45:01+00:00,0.899,E85
1315,2024-01-02 09:51:30+00:00,0.848,E85
1320,2023-11-25 19:29:54+00:00,0.959,E85
1329,2024-01-16 09:33:00+00:00,0.899,E85
1332,2024-01-16 09:33:00+00:00,0.93,GPLc
1333,2024-01-15 12:06:00+00:00,0.999,GPLc
1338,2024-01-16 09:18:33+00:00,0.945,GPLc
1341,2024-01-11 14:47:58+00:00,1.069,E85
1348,2024-01-04 08:40:40+00:00,0.849,E85
1350,2024-01-10 17:16:07+00:00,0.848,E85
1352,2024-01-15 19:31:00+00:00,0.899,E85
1358,2024-01-16 00:26:00+00:00,0.95,E85
1359,2023-12-30 09:43:47+00:00,0.899,E85
1368,2024-01-02 10:38:32+00:00,0.848,E85
1384,2023-12-26 11:05:46+00:00,0.999,E85
1397,2024-01-15 19:31:00+00:00,0.999,E85
1400,2024-01-04 09:54:25+00:00,0.999,E85
1405,2024-01-03 06:00:00+00:00,1.083,GPLc
1408,2024-01-15 19:31:00+00:00,0.899,E85
1414,2024-01-15 19:31:00+00:00,0.999,E85
1419,2024-01-16 10:31:00+00:00,0.869,E85
1420,2024-01-03 09:59:21+00:00,0.869,E85
1439,2023-12-12 11:52:38+00:00,0.949,E85
1443,2023-11-24 08:35:45+00:00,0.959,E85
1447,2024-01-11 10:30:20+00:00,0.849,E85
1452,2024-01-16 08:50:13+00:00,0.999,GPLc
1453,2023-08-03 13:35:00+00:00,1.049,GPLc
1458,2024-01-05 08:56:35+00:00,0.958,E85
1471,2024-01-15 09:59:55+00:00,0.949,E85
1484,2023-11-04 20:05:30+00:00,0.999,E85
1496,2024-01-09 16:13:11+00:00,0.929,E85
1502,2024-01-16 07:51:00+00:00,0.955,E85
1509,2023-12-22 16:41:34+00:00,0.88,E85
1511,2024-01-11 12:22:50+00:00,0.849,E85
1524,2024-01-15 12:04:03+00:00,0.89,E85
1530,2024-01-04 18:54:29+00:00,0.919,E85
1533,2023-12-02 19:00:00+00:00,0.959,E85
1557,2024-01-16 09:35:00+00:00,1.046,GPLc
1559,2024-01-16 07:51:00+00:00,0.92,GPLc
1561,2024-01-15 19:31:00+00:00,0.899,E85
1564,2024-01-06 10:21:17+00:00,0.848,E85
1566,2024-01-06 20:00:00+00:00,0.849,E85
1595,2023-12-02 09:39:43+00:00,0.959,E85
1604,2024-01-15 18:08:29+00:00,0.909,E85
1611,2024-01-10 07:56:29+00:00,0.99,E85
1619,2024-01-13 03:02:00+00:00,0.899,E85
1635,2024-01-15 19:31:00+00:00,0.899,E85
1655,2024-01-15 19:31:00+00:00,0.919,E85
1657,2024-01-13 11:17:59+00:00,1.049,GPLc
1658,2024-01-15 09:37:39+00:00,0.889,E85
1660,2024-01-15 19:31:00+00:00,0.919,GPLc
1669,2024-01-16 09:30:00+00:00,1.072,GPLc
1677,2024-01-02 10:00:30+00:00,0.99,GPLc
1678,2024-01-09 10:08:03+00:00,1.054,GPLc
1679,2024-01-15 10:08:19+00:00,0.849,E85
1682,2024-01-16 10:34:00+00:00,0.889,E85
1697,2024-01-15 19:31:00+00:00,0.919,E85
1700,2024-01-15 08:06:48+00:00,0.848,E85
1701,2023-12-22 06:00:00+00:00,0.899,E85
1706,2024-01-13 17:36:30+00:00,0.919,GPLc
1707,2024-01-01 08:01:19+00:00,0.889,E85
1708,2024-01-14 22:46:00+00:00,0.952,E85
1709,2024-01-02 14:27:11+00:00,0.962,E85
1717,2024-01-16 10:31:00+00:00,0.869,E85
1723,2023-10-13 00:01:00+00:00,0.994,E85
